term,length
anisotropic,11
anisotropy,10
annex,5
announce,8
annual,6
annul,5
annular,7
annulus,7
anomalous,9
anomaly,7
anove,5
answer,6
anti,4
antielastic,11
antisymmetric,13
antisymmetrical,15
apex,4
apogee,6
app,3
apparatus,9
apparent,8
appear,6
appearance,10
append,6
appendix,8
appl,4
applicability,13
applicable,10
application,11
applied,7
apply,5
appraisal,9
appraise,8
appraisement,12
appreciable,11
appreciate,10
approach,8
appropriate,11
approx,6
approximate,11
approximately,13
approximation,13
approximations,14
apropriate,10
arbitrary,9
arc,3
ardc,4
area,4
argon,5
argue,5
argument,8
arise,5
arithmetic,10
arithmetical,12
arm,3
armenakas,9
arrange,7
arrangement,11
arrest,6
arrhenius,9
arrival,7
arrive,6
arrow,5
art,3
article,7
artifice,8
artificial,10
ascend,6
ascertain,9
ascribe,7
asimplified,11
ask,3
aspect,6
assemble,8
assembly,8
assert,6
assess,6
assessment,10
assign,6
assist,6
assistance,10
associate,9
associated,10
association,11
assortment,10
assume,6
assumed,7
assumption,10
assure,6
astronautics,12
astrophysics,12
asymmetric,10
asymmetrical,12
asymmetry,9
asymptote,9
asymptotic,10
atlarge,7
atm,3
atmosphere,10
atmospheric,11
atom,4
atomic,6
attach,6
attached,8
attachment,10
attack,6
attain,6
attainable,10
attainment,10
attempt,7
attendant,9
attened,7
attention,9
attenuate,9
attenuation,11
attitude,8
attract,7
attractive,10
attributable,12
attribute,9
audio,5
augment,7
augmentation,12
aural,5
auspex,6
author,6
authority,9
autocorrelation,15
automatic,9
auxiliary,9
availability,12
available,9
avaluated,9
avenue,6
average,7
averaging,9
avoid,5
avoidance,9
avove,5
avro,4
axi,3
axial,5
axis,4
axisymmetric,12
axisymmetrical,14
azimuthal,9
back,4
background,10
backing,7
backup,6
backward,8
bad,3
bakanov,7
balance,7
balancing,9
ballistic,9
ballistics,10
balsa,5
ban,3
band,4
bandwidth,9
bang,4
bank,4
bar,3
bare,4
barrel,6
barrier,7
base,4
basic,5
basin,5
basis,5
bay,3
beam,4
beane,5
bear,4
bearing,7
beat,4
bed,3
beg,3
begin,5
beginning,9
behave,6
behavior,8
behaviour,9
being,5
belief,6
believe,7
bell,4
belong,6
belotserkovskii,15
belt,4
bend,4
bending,7
beneficial,10
benefit,7
benser,6
ber,3
bergdolt,8
berthelot,9
beskin,6
bessel,6
best,4
beta,4
bevel,5
beyween,7
bibliography,12
biconvex,8
bifurcate,9
bifurcation,11
biharmonic,10
billow,6
bimetallic,10
bimolecular,11
binary,6
bind,4
biot,4
bisector,8
blade,5
bladed,6
blading,7
blasius,7
blast,5
bleed,5
bleich,6
blend,5
block,5
blockage,8
blow,4
blowdown,8
blowout,7
blue,4
bluff,5
bluish,6
blunt,5
blunted,7
blunting,8
bluntness,9
bluntnosed,10
board,5
boat,4
boattail,8
boattailing,11
boattails,9
body,4
boiloff,7
bolshakov,9
bomb,4
bomber,6
bond,4
bonus,5
book,4
boom,4
booming,7
boost,5
booster,7
bore,4
bornel,6
bounary,7
bound,5
boundary,8
bounding,8
bourne,6
bow,3
box,3
bracket,7
brake,5
braking,7
branch,6
branchline,10
brass,5
breadth,7
break,5
breakdown,9
breathing,9
breguet,7
bridge,6
brief,5
briefly,7
brightness,10
bring,5
british,7
broad,5
broaden,7
btu,3
bubble,6
buckle,6
buckled,7
buckling,8
budiansky,9
buffet,6
buffeting,9
build,5
bulent,6
bulge,5
bulk,4
bulkhead,8
bullet,6
bump,4
buoyancy,8
buoyant,7
bureau,6
burger,6
burn,4
burning,7
burst,5
bury,4
busemann,8
butler,6
buzz,4
bypass,6
c(k,3
cabin,5
cal,3
calcualted,10
calcualtions,12
calculate,9
calculated,10
calculation,11
calculus,8
caliber,7
calibrate,9
calibration,11
call,4
caloric,7
camber,6
cambered,8
camera,6
canard,6
cancel,6
cancellation,12
cant,4
cantilever,10
cantilevered,12
cap,3
capability,10
capable,7
capacitance,11
capacity,8
capillary,9
capsule,7
carbon,6
carbonate,9
carborundum,11
care,4
careful,7
caret,5
carrier,7
carry,5
carrying,8
cartesian,9
cascade,7
case,4
cast,4
castigliano,11
castolite,9
catalytic,9
category,8
cater,5
cathode,7
cauchy,6
cause,5
caution,7
cavitating,10
cavitation,10
cavity,6
cease,5
cell,4
cellular,8
cellulose,9
cent,4
cent/,5
centaur,7
center,6
centerline,10
centigrade,10
central,7
centre,6
centreline,10
centric,7
centrifugal,11
centripetal,11
centroid,8
certain,7
certainty,9
chain,5
chamber,7
change,6
channel,7
chap,4
chapman,7
chapter,7
character,9
characteristic,14
characteristics,15
characteristies,15
characterize,12
charge,6
charging,8
chart,5
charter,7
chase,5
check,5
chemical,8
chemisorption,13
chemistry,9
chief,5
chloride,8
choice,6
choke,5
choleski,8
choose,6
chord,5
chordwise,9
circle,6
circling,8
circuit,7
circuitry,9
circular,8
circularity,11
circulate,9
circulation,11
circulatory,11
circumference,13
circumferential,15
circumlunar,11
circumscribing,14
circumstance,12
cite,4
civil,5
claim,5
clamp,5
clamshell,9
clarify,7
class,5
classic,7
classical,9
classificaiton,14
classification,14
classify,8
clausing,8
clay,4
clear,5
clearance,9
climb,5
climinated,10
clockwise,9
close,5
closed,6
closeness,9
closing,7
closure,7
cloud,5
coalescence,11
coarse,6
coast,5
coating,7
coaxial,7
code,4
coefficient,11
coefstant,9
coherent,8
coincide,8
coincident,10
cold,4
collaboration,13
collaborator,12
collapse,8
collapsing,10
collect,7
collection,10
collision,9
collocation,11
colour,6
column,6
combination,11
combine,7
combined,8
combustible,11
combustion,10
combution,9
come,4
coming,6
command,7
commence,8
comment,7
commercial,10
committee,9
common,6
communication,13
compact,7
companion,9
company,7
comparable,10
comparative,11
compare,7
comparison,10
compatibility,13
compatible,10
compensate,10
compete,7
competition,11
compilation,11
compile,7
complement,10
complementary,13
complete,8
completeness,12
completion,10
complex,7
complexity,10
complicate,10
complicated,11
complimentary,13
component,9
compose,7
composite,9
composition,11
compound,8
comprehensive,13
compress,8
compressed,10
compressibility,15
compressible,12
compression,11
compressional,13
compressive,11
compressor,10
comprise,8
compromise,10
computation,11
computational,13
compute,7
computer,8
computing,9
con,3
concave,7
conceivable,11
conceive,8
concentrate,11
concentrated,12
concentration,13
concentric,10
concept,7
conception,10
conceptual,10
concern,7
concerned,9
concise,7
conclude,8
conclusion,10
concoct,7
concrete,8
concur,6
concurrent,10
condensation,12
condense,8
condensed,9
condition,9
conduct,7
conducting,10
conduction,10
conductive,10
conductivity,12
conductor,9
cone,4
cone/,5
confidence,10
configuration,13
confine,7
confirm,7
confirmation,12
conflict,8
confluent,9
conform,7
conformal,9
conformity,10
confused,8
confusing,9
conic,5
conical,7
conicals,8
conidtions,10
conjecture,10
conjunction,11
connect,7
connected,9
connection,10
connexion,9
conpressibility,15
consequence,11
consequent,10
conservation,12
conservative,12
conservativeness,16
consider,8
considerable,12
consideration,13
consierable,11
consist,7
consistent,10
consists,8
consolidate,11
const,5
constancy,9
constant,8
constant/,9
constants/,10
constituent,11
constitute,10
constitution,12
constrain,9
constrained,11
constraint,10
construct,9
construction,12
consumption,11
contact,7
contain,7
contaminate,11
contaminating,13
contamination,13
contemplate,11
content,7
context,7
continuation,12
continue,8
continuity,10
continuous,10
continuum,9
contour,7
contoured,9
contract,8
contracting,11
contraction,11
contradiction,13
contrary,8
contrast,8
contribute,10
contributing,12
contribution,12
control,7
controlled,10
controversy,11
convect,7
convecting,10
convection,10
convective,10
convenience,11
convenient,10
conventional,12
converge,8
convergence,11
convergent,10
converging,10
converse,8
conversion,10
convert,7
convex,6
conviction,10
convolution,11
cool,4
coolant,7
cooled,6
cooling,7
cooperation,11
coordinate,10
cope,4
copper,6
core,4
corner,6
cornered,8
corollary,9
corpuscular,11
correct,7
correction,10
corrective,10
correctness,11
correlate,9
correlation,11
correlator,10
correlograms,12
correspond,10
corresponding,13
corridor,8
corroborate,11
corrosive,9
corrugated,10
cosine,6
cost,4
couette,7
coulomb,7
coundary,8
count,5
counter,7
counteract,10
counterpart,11
country,7
couple,6
coupling,8
coupon,6
course,6
cover,5
coverage,8
cowl,4
cowling,7
cps,3
crack,5
cracking,8
craft,5
crease,6
create,6
creep,5
crest,5
crew,4
crinoline,9
criterion,9
critical,8
criticism,9
criticize,9
crocco,6
crooked,7
crop,4
cross,5
crosscorrelation,16
crossflow,9
crucial,7
cruciform,9
cruise,6
crush,5
cubic,5
cubics,6
cumbersome,10
cumulative,10
cure,4
curling,7
current,7
curtain,7
curvature,9
curve,5
curved,6
curvilinear,11
cushion,7
cusped,6
cusps,5
cuss,4
customary,9
cut,3
cutoff,6
cutout,6
cycle,5
cyclic,6
cycling,7
cylinder,8
cylinder/,9
cylinderical,12
cylindrical,11
damage,6
damaging,8
damp,4
damping,7
danger,6
dash,4
dashthat,8
dashthe,7
data,4
date,4
day,3
daytime,7
dead,4
deal,4
debatable,9
debye,5
decade,6
decay,5
decaying,8
decelerate,10
deceleration,12
decide,6
decimal,7
decision,8
declassify,10
decline,7
decompose,9
decomposition,13
decrease,8
decrement,9
deduce,6
deduct,6
deduction,9
deep,4
defect,6
defence,7
defference,10
deficiency,10
deficit,7
definable,9
define,6
definite,8
definition,10
deflagration,12
deflect,7
deflection,10
deflexion,9
deform,6
deformable,10
deformation,11
deformed,8
defy,4
deg,3
degenerate,10
degrade,7
degree,6
degreec,7
degreek,7
deionization,12
deisgn,6
delay,5
delimited,9
delineate,9
delta,5
demand,6
demarcation,11
demonstrate,11
demonstration,13
dence,5
denomination,12
denote,6
dense,5
density,7
dent,4
depart,6
department,10
departure,9
depend,6
dependence,10
dependency,10
dependent,9
depict,6
depletion,9
deposit,7
depression,10
depth,5
derivable,9
derivation,10
derivative,10
derive,6
deryagin,8
descend,7
descent,7
describable,11
describe,8
description,11
descriptive,11
design,6
designate,9
designer,8
desirability,12
desirable,9
desire,6
desk,4
destabilize,11
destabilizing,13
destalling,10
detached,8
detachment,10
detail,6
detailed,8
detect,6
detectable,10
detection,9
deteriorate,11
deterioration,13
determinable,12
determinant,11
determinantal,13
determinate,11
determination,13
determine,9
determined,10
detonation,10
detra,5
detrimental,11
deuce,5
develop,7
developable,11
development,11
deviate,7
deviation,9
device,6
devise,6
devote,6
devoted,7
devreased,9
dewpoint,8
diagonal,8
diagram,7
diam,4
diameter,8
diamond,7
diaphragm,9
diatomic,8
dicsovering,11
dictate,7
dielectric,10
differ,6
difference,10
different,9
differential,12
differentiate,13
differentiation,15
differs,7
difficult,9
difficulty,10
diffuse,7
diffuser,8
diffusion,9
diffusive,9
diffusivity,11
digit,5
digital,7
dihedral,8
dilation,8
dilute,6
dimension,9
dimensional,11
dimensionality,14
dimensionless,13
diminish,8
dioxide,7
dipole,6
dirac,5
direct,6
direction,9
directional,11
directive,9
director,8
dirichlet,9
dirt,4
disadvantage,12
disagree,8
disagreement,12
disappear,9
disc,4
discern,7
discernible,11
discharge,9
disclose,8
discontinuity,13
discontinuous,13
discover,8
discoverer,10
discovery,9
discrepancy,11
discrete,8
discuss,7
discussion,10
disequilibrium,14
disk,4
dislocation,11
dismiss,7
disparity,9
disperse,8
dispersion,10
displace,8
displacement,12
display,7
disposable,10
disregard,9
dissertation,12
dissimilar,10
dissipation,11
dissipative,11
dissociate,10
dissociation,12
distance,8
distant,7
distinct,8
distinction,11
distinguish,11
distort,7
distortion,10
distribute,10
distribution,12
disturb,7
disturbance,11
disturbed,9
disturbing,10
diurnal,7
diverge,7
divergence,10
divergent,9
diverse,7
diversify,9
divide,6
diving,6
division,8
doctor,6
dodecagonal,11
domain,6
dome,4
dominant,8
dominate,8
donnell,7
doppler,7
dorod,5
dorodnitsyn,11
double,6
doublet,7
doubling,8
doubt,5
doubtful,8
downstream,10
downward,8
downwash,8
downwashes,10
drag,4
dramatic,8
drape,5
drastic,7
draw,4
drawing,7
drift,5
drill,5
drive,5
driver,6
driving,7
droop,5
drop,4
drum,4
dry,3
dual,4
ducing,6
duct,4
ducted,6
ducting,7
duplicate,9
duralumin,9
duration,8
dust,4
dy/,3
dynamic,7
dynamical,9
e.104,5
e/0.2/,6
early,5
earth,5
ease,4
easy,4
eccentricity,12
echo,4
economic,8
economical,10
economics,9
economy,7
eddy,4
edge,4
edged,5
edition,7
edpm,4
educational,11
effect,6
effective,9
effectiveness,13
efficacious,11
efficiency,10
efficient,9
efflux,6
effort,6
effusion,8
eigenvalue,10
eigenvectors,12
eighth,6
einbinder,9
ejector,7
elaborate,9
elapse,6
elastic,7
elasticity,10
electric,8
electrical,10
electro,7
electrode,9
electroformed,13
electrohydrodynamic,19
electromagnetic,15
electron,8
electronic,10
electrons,9
elegant,7
element,7
elemental,9
elementary,10
elevated,8
elevation,9
elevator,8
eliminate,9
elimination,11
ellipse,7
ellipsoid,9
ellipsoidal,11
elliptic,8
elliptical,10
ellipticity,11
elongated,9
embed,5
embrace,7
embryonic,9
emerge,6
emission,8
emissivity,10
emit,4
emitted,7
emmons,6
emphasis,8
emphasise,9
emphasize,9
empirical,9
employ,6
employment,10
enable,6
ence,4
encircle,8
enclose,7
encompass,9
encounter,9
encouraging,11
end,3
endeavour,9
endorse,7
endplate,8
endurance,9
energy,6
enforce,7
engage,6
engesser,8
engine,6
engined,7
engineer,8
engineering,11
enhance,7
eniac,5
enjoy,5
enlarge,7
enlightening,12
enquiry,7
ensue,5
ensure,6
entail,6
enter,5
enthalpics,10
enthalpy,8
entire,6
entirety,8
entitle,7
entrain,7
entrainment,11
entrance,8
entrant,7
entropy,7
entry,5
envelope,8
environment,11
environmental,13
envisage,8
epoxy,5
equal,5
equality,8
equate,6
equation,8
equations,9
equatorial,10
equicohesive,12
equilateral,11
equilibrate,11
equilibrium,11
equip,5
equipment,9
equivalence,11
equivalent,10
erature,7
erfc,4
erode,5
erosion,7
erosive,7
erratic,7
error,5
escape,6
essence,7
essential,9
establish,9
establishment,13
estimate,8
estimated,9
estimation,10
eter,4
ethylene,8
eucken,6
euler,5
eulerian,8
evaluate,8
evaluation,10
evaporate,9
evaporation,11
event,5
eventual,8
evidence,8
evident,7
evolve,6
evvard,6
exact,5
exaggeration,12
examinable,10
examination,11
examine,7
example,7
exceed,6
excellent,9
exception,9
exceptional,11
excess,6
excessive,9
exchange,8
exchanger,9
excitation,10
excite,6
excited,7
exciting,8
exclude,7
excrescence,11
excuse,6
exercise,8
exert,5
exhaust,7
exhausting,10
exhaustive,10
exhibit,7
exist,5
existence,9
exit,4
exotic,6
expand,6
expanse,7
expansion,9
expect,6
expectation,11
expend,6
expenditure,11
expense,7
experience,10
experiment,10
experimental,12
experimenter,12
explain,7
explanation,11
explicit,8
exploit,7
exploration,11
exploratory,11
explore,7
explosion,9
explosive,9
exponent,8
exponential,11
exponentially,13
expose,6
exposed,7
exposition,10
exposure,8
expound,7
express,7
expressible,11
expression,10
extend,6
extended,8
extendible,10
extensible,10
extension,9
extensional,11
extensive,9
extent,6
exterior,8
external,8
extinction,10
extra,5
extrapolate,11
extrapolation,13
extremal,8
extreme,7
eye,3
fabric,6
fabricate,9
fabrication,11
face,4
faced,5
facet,5
facilitate,10
facility,8
fact,4
factor,6
fail,4
failure,7
fair,4
fales,5
fall,4
familiar,8
family,6
fan,3
far,3
fashion,7
fast,4
fasten,6
fat,3
fatigue,7
favor,5
favorable,9
feasibility,11
feasible,8
feature,7
feed,4
feedback,8
feeding,7
feel,4
fell,4
felt,4
few,3
fiber,5
fibrous,7
ficients,8
fictitious,10
field,5
fifth,5
fig,3
fighter,7
figs.1,6
figure,6
filament,8
fill,4
filling,7
film,4
filter,6
filtering,9
fin,3
final,5
financial,9
find,4
finding,7
fine,4
fineness,8
finish,6
finite,6
finned,6
fire,4
firing,6
firm,4
fission,7
fit,3
fix,3
fixing,6
flame,5
flange,6
flanged,7
flap,4
flare,5
flared,6
flash,5
flat,4
flatness,8
flex,4
flexibility,11
flexible,8
flexural,8
flexure,7
flight,6
float,5
flocculent,10
floor,5
flow,4
flowmeter,9
flowmeters,10
fluctuate,9
fluctuation,11
flugge,6
fluid,5
fluidized,9
flutter,7
flux,4
fly,3
focus,5
fog,3
foil,4
fold,4
folding,7
follow,6
following,9
foot,4
footing,7
force,5
forcible,8
fore,4
forebodies,10
forebody,8
forecast,8
forecasting,11
foredrag,8
forefront,9
forego,6
foregoing,9
foreign,7
foreknowledge,13
form,4
formal,6
formation,9
formula,7
formulate,9
formulation,11
formulism,9
fort,4
forum,5
forward,7
found,5
foundation,10
fourier,7
fourth,6
fps,3
fraction,8
fractional,10
fracture,8
fralich,7
frame,5
framework,9
fredholm,8
free,4
freedom,7
freeman,7
freestream,10
freeze,6
freezing,8
freon,5
frequency,9
friction,8
frictional,10
frictionless,12
friedrichs,10
fringe,6
front,5
frontal,7
frozen,6
fruit,5
fruitful,8
frustum,7
fuel,4
fulfil,6
fulfillment,11
full,4
function,8
function/,9
functional,10
fundamental,11
furnace,7
furnish,7
fuse,4
fuselage,8
future,6
gag,3
gage,4
gain,4
galcit,6
galerkin,8
gamma,5
gap,3
gardless,8
garrick,7
gas,3
gascous,7
gasdynamic,10
gasdynamical,12
gasdynamics,11
gaseous,7
gather,6
gauge,5
gauss,5
gaussian,8
geckeler,8
general,7
generalise,10
generalised,11
generality,10
generalization,14
generalize,10
generalized,11
generate,8
generating,10
generation,10
generator,9
genuine,7
geodesic,8
geometric,9
geometrical,11
geometrics,10
geometries,10
geometry,8
geophysical,11
german,6
gershuni,8
get,3
giese,5
give,4
glance,6
glass,5
glassy,6
glauert,7
glide,5
glider,6
globule,7
glycerin,8
goal,4
good,4
goodier,7
gortler,7
gothic,6
govern,6
governing,9
grad,4
grade,5
gradient,8
gradient/,9
gradual,7
grain,5
gram,4
grand,5
granular,8
graph,5
graphical,9
graphite,8
grashof,7
grasshof,8
gravel,6
gravitational,13
gravity,7
graze,5
great,5
green,5
grid,4
gridwork,8
grind,5
grober,6
groove,6
gross,5
ground,6
group,5
grow,4
growth,6
guarantee,9
guidance,8
guide,5
gun,3
gun/,4
gust,4
gyration,8
gyroscope,9
gyroscopic,10
h(m,3
hadamard,8
half,4
hall,4
halve,5
hammerhead,10
hammitt,7
hamper,6
hand,4
handbook,8
handicap,8
handle,6
handling,8
hangling,8
hankel,6
hantzsche,9
happen,6
hard,4
harden,6
hardening,9
hardware,8
harmonic,8
hartree,7
hasimoto,8
hasten,6
have,4
haveg,5
hazard,6
head,4
heading,7
heat,4
heated,6
heater,6
heating,7
heaving,7
heavy,5
height,6
heimenz,7
helical,7
helicopter,10
heliocentric,12
helium,6
helmholtz,9
help,4
helpful,7
hemisphere,10
hemispherical,13
hemispherically,15
hemispheroidal,14
hero,4
heterogeneous,13
hexagonal,9
high,4
highspeed,9
hinder,6
hinge,5
hinged,6
hirschfelder,12
hirshfelder,11
hise,4
historics,9
history,7
hit,3
hitherto,8
hodograph,9
hodographic,11
hold,4
holder,6
hole,4
hollow,6
home,4
homogeneous,11
homogenous,10
honeycomb,9
hoop,4
hop,3
hope,4
hopeless,8
hopf,4
horizontal,10
horseshoe,9
hosokawa,8
hot,3
hour,4
housefly,8
housing,7
hover,5
hovercraft,10
howarth,7
howorth,7
hpyersonic,10
hub,3
hugoniot,8
human,5
humidity,8
hybrid,6
hydroballistic,14
hydrocarbon,11
hydrodynamic,12
hydrodynamical,14
hydrodynamics,13
hydrogen,8
hydromagnetic,13
hydrostatic,11
hyper,5
hyperbolic,10
hypergeometric,14
hypersonic,10
hypervelocity,13
hypothesis,10
hypothesize,11
hypothetical,12
hysol,5
hysteresis,10
hysteretic,10
icbm,4
idea,4
ideal,5
idealization,12
idealize,8
idealized,9
identical,9
identifiable,12
identification,14
identify,8
identity,8
ied,3
iferation,9
ignite,6
ignition,8
ignore,6
iii,3
illingworth,11
illustrate,10
illustration,12
illustrative,12
illustrious,11
image,5
imaginary,9
immediate,9
immerse,7
immobile,8
immovable,9
impact,6
impair,6
impart,6
impeller,8
imperfect,9
imperfection,12
impermeable,11
impinge,7
impingement,11
implement,9
implication,11
implicit,8
imply,5
importance,10
important,9
impose,6
impossible,10
impression,10
improper,8
improve,7
improved,8
improvement,11
impulse,7
impulsive,9
inaccessible,12
inaccuracy,10
inaccurate,10
inadequacy,10
inadequate,10
inadmissable,12
inafinite,9
inapplicable,12
inappropriate,13
inboard,7
inch,4
incidence,9
incident,8
incidental,10
incipient,9
inclination,11
incline,7
inclined,8
include,7
inclusion,9
inclusive,9
incoming,8
incomplete,10
incompressible,14
inconclusive,12
inconel,7
inconsistency,13
inconsistent,12
inconvenient,12
incorporate,11
incorporation,13
incorrect,9
increase,8
increment,9
incremental,11
incur,5
independence,12
independent,11
indetermining,13
index,5
indical,7
indicate,8
indication,10
indicative,10
indicial,8
indirect,8
indium,6
individual,10
induce,6
induced,7
inductance,10
induction,9
industry,8
inefficient,11
inelastic,9
inequality,10
inert,5
inertia,7
inertial,8
inevitable,10
inexpensive,11
infer,5
infinite,8
infinitesimal,13
infinity,8
infite,6
inflection,10
inflow,6
influence,9
influential,11
influx,6
information,11
ing,3
ingenious,9
inherent,8
inhibit,7
inhomogeneous,13
initial,7
initiate,8
inject,6
injectant,9
injection,9
injector,8
ink,3
inlet,5
inner,5
inoperative,11
inorganic,9
inplane,7
input,5
inquire,7
insect,6
insensitive,11
insert,6
insertion,9
insight,7
insignificant,13
inspection,10
inspire,7
instability,11
installation,12
instance,8
instant,7
instantaneous,13
instigate,9
instruct,8
instruction,11
instructive,11
instrument,10
instrumentation,15
insufficient,12
insulate,8
insulated,9
insulation,10
insure,6
intake,6
integrable,10
integral,8
integrands,10
integrate,9
integrated,10
integration,11
integrity,9
intend,6
intense,7
intensification,15
intensify,9
intensity,9
intention,9
inter,5
interact,8
interaction,11
interanl,8
interchangeable,15
interconnect,12
interconnected,14
intercrystalline,16
interdependence,15
interest,8
interested,10
interesting,11
interface,9
interference,12
interferograms,14
interferometer,14
interferometric,15
intergranular,13
interim,7
interior,8
intermediate,12
intermolecular,14
internal,8
international,13
interplanetary,14
interpolation,13
interpose,9
interpret,9
interpretation,14
interpretive,12
interrelation,13
intersect,9
intersecting,12
intersection,12
interstellar,12
interval,8
intimate,8
intractable,11
intrinsic,9
introduce,9
introduction,12
introduring,11
intuition,9
invalid,7
invalidate,10
invariant,9
inverse,7
inversion,9
invert,6
inverted,8
investigaion,12
investigate,11
investigation,13
investigator,12
inviscid,8
invoke,6
involve,7
inwards/,8
iodine,6
ion,3
ionization,10
ionize,6
ionosphere,10
irbm,4
iron,4
irregular,9
irregularity,12
irreversibility,15
irreversible,12
irritant,8
irrotational,12
isentropic,10
isobar,6
isochronous,11
isoenergetic,12
isofoam,7
isolate,7
isolated,8
isolation,9
isothermal,10
isotope,7
isotropic,9
isovel,6
isovels,7
issue,5
issuing,7
item,4
iteration,9
iterative,9
jastrow,7
jet,3
jet/,4
jetlike,7
jmin,4
jmjn,4
join,4
joint,5
joukowski,9
joukowsky,9
joule,5
journal,7
judge,5
jump,4
junction,8
juncture,8
justifiable,11
justification,13
justify,7
karman,6
keep,4
kempner,7
kernal,6
kernel,6
key,3
kilometre,9
kind,4
kinematic,9
kinetic,7
kinetics,8
kink,4
kinked,6
kirchhoff,9
knee,4
know,4
knowledge,9
known,5
knuckle,7
knudsen,7
krasilshchikova,15
kussner,7
kutta,5
labor,5
laboratory,10
laborious,9
labour,6
lack,4
lacquer,7
lag,3
lagrangian,10
laguerre,8
laminar,7
laminary,8
laminate,8
land,4
landahl,7
landing,7
langer,6
langley,7
language,8
lap,3
laplace,7
laplacian,9
large,5
late,4
latent,6
lateral,7
latitude,8
lattice,7
laufer,6
launch,6
law,3
lay,3
layer,5
layer/,6
layout,6
lead,4
leading,7
leave,5
lecture,7
leeward,7
legendre,8
legitimate,10
lend,4
length,6
lengthen,8
lengthwise,10
less,4
let,3
letter,6
level,5
lever,5
levy,4
liable,6
liapunov,8
libration,9
librove,7
license,7
lie,3
life,4
lifetime,8
lift,4
lifting,7
light,5
lighthill,9
lighthill/1957,14
lightweight,11
like,4
likely,6
limit,5
limitation,10
limited,7
limiting,8
line,4
lineal,6
linear,6
linearisation,13
linearise,9
linearised,10
linearity,9
linearization,13
linearize,9
liner,5
lingitudinal,12
link,4
liouville,9
lip,3
liquid,6
list,4
literal,7
literature,10
little,6
load,4
loaded,6
loading,7
lobe,4
lobed,5
local,5
localise,8
localised,9
localize,8
localized,9
locate,6
location,8
lock,4
locus,5
log,3
